location	t_min	t_max	f_min	f_max	species_id	songtype_id
./train_tran/77cf1b7e3_0.png	14.093250000000003	56.404443750000006	94.4540982597574	102.92791236986056	21.0	1.0
./train_tran/c220f5fec_0.png	117.24245625	238.60565625	29.14987167667958	94.4540982597574	12.0	1.0
./train_tran/b6b2bb1cd_0.png	0.7361062500000001	83.70890625000001	29.14987167667958	105.37028135122927	6.0	1.0
./train_tran/160b70831_0.png	67.59196875	136.32316875	25.303554288179132	91.13583415816991	2.0	1.0
./train_tran/c8bed66bb_0.png	93.19846875	187.77804375	48.456683894543126	138.74800399013708	10.0	1.0
./train_tran/42a7c4f08_0.png	279.41722500000003	315.12603750000005	88.74602611212187	105.37028135122927	14.0	1.0
./train_tran/bda762977_0.png	77.635425	327.38265	60.52461049098173	101.20531467615808	17.0	1.0
./train_tran/8593f9606_0.png	217.38031875000001	240.08593125000002	84.84461338036559	113.79033909179049	14.0	1.0
./train_tran/4e90ab2fb_0.png	173.81056875000002	245.638575	81.99480969572119	103.76006363063158	4.0	1.0
./train_tran/e005ce0f5_0.png	60.22606875000001	94.90126875000001	100.31300227670073	114.41269277878853	1.0	1.0
./train_tran/c9bd1f599_0.png	4.0264125	239.46189375000003	123.73410295049248	140.18913207403958	23.0	1.0
./train_tran/737d85472_0.png	49.016775	355.66831875	119.53761092240669	141.30277569112297	23.0	4.0
./train_tran/48ceeeb96_0.png	15.078487500000001	321.73003124999997	119.53761092240669	141.30277569112297	23.0	4.0
./train_tran/5debe8941_0.png	163.22773125000003	223.29013125	23.201837593705136	88.74602611212187	19.0	1.0
./train_tran/d1607e9b2_0.png	170.81615625	232.94578125000004	138.18001118839825	147.34133116942368	22.0	1.0
./train_tran/4e5702ed7_0.png	126.19747500000001	197.20068750000002	92.27528322170357	106.91338682379362	16.0	4.0
./train_tran/b68e70116_0.png	172.8100125	294.38283750000005	107.66147636238786	140.691425822284	7.0	1.0
./train_tran/14f6cbe5c_0.png	176.47764375000003	205.16643750000003	51.59457903652723	88.74602611212187	3.0	1.0
./train_tran/5c609dbfb_0.png	129.87720000000002	156.70839375000003	93.38071375026195	110.51128004703226	18.0	1.0
./train_tran/9b92a698e_0.png	86.36630625000001	224.24311875000004	44.16390919518925	115.02475915561733	9.0	1.0
./train_tran/7e0d06929_0.png	208.170525	302.75010000000003	48.456683894543126	138.74800399013708	10.0	1.0
./train_tran/2337c4af2_0.png	80.61290625000001	142.73850000000002	138.18001118839825	147.34133116942368	22.0	1.0
./train_tran/4a7fe1b31_0.png	66.435	316.17819375	60.52461049098173	101.20531467615808	17.0	1.0
./train_tran/bc18e6dba_0.png	86.26552500000001	128.58075	94.4540982597574	102.92791236986056	21.0	1.0
./train_tran/acff61b19_0.png	217.3537125	346.76731875	18.681759350907765	54.816538343346245	15.0	1.0
./train_tran/ab5e71344_0.png	232.28626875000003	292.34866875	23.201837593705136	88.74602611212187	19.0	1.0
./train_tran/5e8e5d53b_0.png	112.53153750000001	272.08035	99.39865526027886	113.79033909179049	8.0	1.0
./train_tran/63a82d848_0.png	332.46283125	367.1388375	100.31300227670073	114.41269277878853	1.0	1.0
./train_tran/ae4a3b1e2_0.png	72.62700000000001	193.99100625000003	29.14987167667958	94.4540982597574	12.0	1.0
./train_tran/23adb9473_0.png	76.848525	209.97733125	81.99480969572119	115.02475915561733	20.0	1.0
./train_tran/604583528_0.png	76.82595	383.47749375	119.53761092240669	141.30277569112297	23.0	4.0
./train_tran/af36838f2_0.png	36.38848125	119.3620875	29.14987167667958	105.37028135122927	6.0	1.0
./train_tran/07f1227b0_0.png	320.071575	354.74758125000005	100.31300227670073	114.41269277878853	1.0	1.0
./train_tran/c6e411c90_0.png	296.322675	356.38507500000003	23.201837593705136	88.74602611212187	19.0	1.0
./train_tran/ecd47f7cc_0.png	145.250775	380.68625625000004	123.73410295049248	140.18913207403958	23.0	1.0
./train_tran/960572cd4_0.png	44.05108125	165.62390625	107.66147636238786	140.691425822284	7.0	1.0
./train_tran/d3195bece_0.png	254.636325	349.21590000000003	48.456683894543126	138.74800399013708	10.0	1.0
./train_tran/03b96f209_0.png	78.91091250000001	149.914125	92.27528322170357	106.91338682379362	16.0	4.0
./train_tran/03b96f209_1.png	194.71824375	265.72145625	92.27528322170357	106.91338682379362	16.0	4.0
./train_tran/a17b9af5d_0.png	201.63586875	273.46306875000005	81.99480969572119	103.76006363063158	4.0	1.0
./train_tran/cf568dfc0_0.png	145.966725	216.96993750000001	92.27528322170357	106.91338682379362	16.0	4.0
./train_tran/710537df8_0.png	160.31555625000001	231.31876875	92.27528322170357	106.91338682379362	16.0	4.0
./train_tran/d35473d24_0.png	151.3428	195.37211250000001	72.40076961715913	114.8040808013968	11.0	1.0
./train_tran/8531f27ff_0.png	233.36986875000002	354.9386625	107.66147636238786	140.691425822284	7.0	1.0
./train_tran/596463649_0.png	39.85455	177.73136250000002	44.16390919518925	115.02475915561733	9.0	1.0
./train_tran/003bec244_0.png	360.17203125000003	382.87764375000006	84.84461338036559	113.79033909179049	14.0	1.0
./train_tran/4e464ff6b_0.png	285.47377500000005	368.44738125000003	29.14987167667958	105.37028135122927	6.0	1.0
./train_tran/7a49b2465_0.png	210.22726875	331.59127500000005	29.14987167667958	94.4540982597574	12.0	1.0
./train_tran/02b9a8ab9_0.png	226.82150625	348.18470625000003	29.14987167667958	94.4540982597574	12.0	1.0
